local_date,label,country
2021-01-02,Public Holiday,botswana
2021-04-02,Good Friday,botswana
2021-04-03,Holy Saturday,botswana
2021-04-05,Easter Monday,botswana
2021-05-01,May Day/Labour Day,botswana
2021-05-13,Ascension Day,botswana
2021-07-01,Sir Seretse Khama Day,botswana
2021-07-20,President's Day,botswana
2021-07-21,Public Holiday,botswana
2021-09-30,Botswana Day,botswana
2021-10-01,Public Holiday,botswana
2021-12-25,Christmas Day,botswana
2021-12-26,Boxing Day,botswana
2021-12-27,Public Holiday,botswana
2021-01-01,New Year,botswana
